itemId,zone,containerId,coordinates
32,Lab,L02,"(0,0,0),(35.8,19.8,41.4)"
33,Crew_Quarters,CQ01,"(0,0,0),(21.3,17.7,15.2)"
34,Crew_Quarters,CQ02,"(0,0,0),(50.0,34.7,29.9)"
35,External_Storage,ES02,"(0,0,0),(26.2,46.8,27.3)"
36,Crew_Quarters,CQ03,"(0,0,0),(42.5,46.2,49.4)"
37,Lab,L03,"(0,0,0),(14.3,13.2,39.5)"
38,Crew_Quarters,CQ04,"(0,0,0),(22.2,28.5,26.4)"
39,Lab,L04,"(0,0,0),(18.9,19.6,29.8)"
40,External_Storage,ES03,"(0,0,0),(30.4,49.7,14.4)"
41,Storage_Bay,TA02,"(15.7,0,0),(56.1,30.9,47.9)"
42,Storage_Bay,TA01,"(26.8,0,0),(68.6,41.0,41.5)"
43,Storage_Bay,TA03,"(11.3,0,0),(46.5,41.2,43.0)"
44,Command_Center,CC02,"(0,0,0),(46.6,20.1,13.9)"
45,Airlock,A01,"(0,0,0),(15.5,45.8,22.7)"
46,Storage_Bay,TA03,"(49.6,0,0),(60.4,37.6,30.4)"
47,Storage_Bay,TA01,"(33.3,0,0),(76.3,34.8,28.7)"
48,Cockpit,C01,"(0,0,0),(15.9,38.0,28.6)"
49,Crew_Quarters,CQ01,"(21.3,0,0),(32.9,26.1,23.8)"
50,Storage_Bay,TA03,"(60.4,0,0),(74.2,25.9,19.1)"
51,Lab,L01,"(0,0,0),(17.2,20.4,26.8)"
52,Storage_Bay,TA03,"(74.2,0,0),(108.9,14.8,38.4)"
53,Engineering_Bay,EB02,"(11.0,11.0,0),(54.1,59.2,30.5)"
54,Cockpit,C02,"(0,0,0),(12.1,24.3,37.7)"
55,Medical_Bay,EA01,"(0,0,0),(21.6,15.4,10.1)"
56,Medical_Bay,EA02,"(0,0,0),(24.8,18.5,55.6)"
57,Engineering_Bay,EB01,"(15.4,0,0),(34.0,12.0,48.4)"
58,Engineering_Bay,EB02,"(0,0,10.0),(17.9,16.3,35.8)"
59,Storage_Bay,TA02,"(36.9,0,0),(74.2,19.7,42.7)"
60,External_Storage,ES04,"(0,0,0),(48.4,17.5,11.3)"
61,Lab,L02,"(0,0,0),(21.6,14.9,16.2)"
62,Storage_Bay,TA02,"(56.1,0,0),(105.4,46.1,28.5)"
63,Engineering_Bay,EB01,"(34.0,0,0),(83.4,22.0,44.8)"
64,Cockpit,C03,"(0,0,0),(44.3,43.3,15.1)"
65,Lab,L03,"(0,0,0),(39.2,49.3,36.2)"
66,Maintenance_Bay,MB04,"(0,0,0),(23.5,18.4,17.6)"
67,Cockpit,C04,"(0,0,0),(17.0,12.5,45.9)"
68,Greenhouse,G02,"(0,0,0),(29.9,13.8,13.6)"
69,Lab,L04,"(0,0,0),(14.9,18.0,11.5)"
70,Engineering_Bay,EB02,"(0,16.3,10.0),(16.8,30.4,20.6)"
71,Crew_Quarters,CQ02,"(0,16.6,0),(49.5,28.9,41.2)"
72,Power_Bay,PB01,"(0,0,0),(27.0,21.1,40.7)"
73,Engineering_Bay,EB02,"(0,30.4,10.0),(18.0,48.8,55.0)"
74,Storage_Bay,TA03,"(0,14.8,0),(13.2,34.2,19.7)"
75,Cockpit,C05,"(0,0,0),(19.7,40.4,11.7)"
76,Airlock,A02,"(0,0,0),(25.2,20.0,46.1)"
77,Engineering_Bay,EB02,"(0,48.8,10.0),(36.6,73.5,31.8)"
78,Airlock,A03,"(0,0,0),(10.4,39.1,32.3)"
79,Engineering_Bay,EB02,"(0,0,31.8),(41.9,30.7,63.8)"
80,Command_Center,CC03,"(0,0,0),(50.0,47.2,15.9)"
81,Medical_Bay,EA03,"(0,0,0),(26.1,27.9,12.1)"
82,Lab,L04,"(14.9,0,0),(60.5,37.6,10.3)"
83,Command_Center,CC01,"(0,0,0),(36.3,48.9,21.6)"
84,Crew_Quarters,CQ01,"(32.9,0,0),(45.2,29.1,15.6)"
85,Engineering_Bay,EB01,"(33.9,0,0),(72.3,23.2,35.2)"
86,Lab,L01,"(10.8,0,0),(35.8,29.1,17.4)"
87,Crew_Quarters,CQ03,"(37.6,0,0),(67.9,40.0,30.5)"
88,Lab,L02,"(21.6,0,0),(40.8,19.0,28.9)"
89,Crew_Quarters,CQ04,"(22.2,0,0),(63.2,42.2,25.1)"
90,Medical_Bay,EA01,"(21.6,0,0),(54.0,18.7,38.4)"
91,Engineering_Bay,EB01,"(0,22.0,0),(10.1,32.6,19.7)"
92,Engineering_Bay,EB01,"(10.1,22.0,0),(49.9,71.6,24.2)"
93,Command_Center,CC02,"(0,0,0),(16.8,32.0,27.9)"
94,Cockpit,C01,"(0,0,0),(16.4,25.9,39.7)"
95,Storage_Bay,TA03,"(46.5,0,0),(74.2,17.0,27.8)"
96,Medical_Bay,EA02,"(17.6,0,0),(37.9,15.1,30.8)"
97,Crew_Quarters,CQ01,"(0,0,33.9),(25.0,42.8,72.2)"
98,Cockpit,C02,"(0,0,0),(49.0,32.3,20.0)"
99,Life_Support,LS03,"(0,0,0),(44.0,19.0,49.0)"
100,Engineering_Bay,EB02,"(0,0,30.5),(25.5,11.3,79.1)"
101,Power_Bay,PB02,"(0,0,0),(42.2,28.5,20.3)"
102,Airlock,A03,"(10.4,0,0),(25.6,32.7,23.7)"
103,Engine_Bay,NA02,"(0,0,0),(30.1,39.3,30.7)"
104,Cockpit,C03,"(0,0,0),(15.8,20.1,38.4)"
105,Storage_Bay,TA03,"(13.2,14.8,0),(27.3,32.8,27.1)"
106,Power_Bay,PB03,"(0,0,0),(15.9,27.6,32.7)"
107,Engineering_Bay,EB02,"(0,11.3,30.5),(46.4,53.7,47.8)"
108,Medical_Bay,EA03,"(26.1,0,0),(44.2,26.0,26.1)"
109,Engineering_Bay,EB01,"(0,23.2,0),(17.6,49.4,11.0)"
110,Storage_Bay,TA01,"(0,41.0,0),(41.6,76.5,28.6)"
111,Crew_Quarters,CQ04,"(38.2,0,0),(50.4,10.6,38.2)"
112,Maintenance_Bay,MB01,"(0,0,0),(17.8,16.7,15.7)"
113,Engineering_Bay,EB02,"(0,30.7,31.8),(11.2,72.0,51.4)"
114,Engine_Bay,NA03,"(0,0,0),(10.6,38.2,27.1)"
115,Crew_Quarters,CQ01,"(0,0,15.6),(12.0,44.9,26.2)"
116,Medical_Bay,EA01,"(15.6,0,0),(51.3,42.6,26.2)"
117,Lab,L03,"(14.3,0,0),(47.9,46.7,21.5)"
118,Lab,L01,"(17.2,0,0),(37.7,15.6,11.6)"
119,Crew_Quarters,CQ04,"(50.4,0,0),(92.4,15.9,30.3)"
120,Medical_Bay,EA02,"(37.9,0,0),(60.5,49.4,32.1)"
121,External_Storage,ES01,"(0,0,0),(25.7,46.1,19.5)"
122,Crew_Quarters,CQ01,"(12.0,0,15.6),(28.8,15.9,77.8)"
123,Crew_Quarters,CQ02,"(0,28.9,0),(10.7,53.0,47.5)"
124,Crew_Quarters,CQ01,"(28.8,0,15.6),(64.2,18.8,62.6)"
125,Maintenance_Bay,MB02,"(0,0,0),(10.2,24.2,29.4)"
126,Engineering_Bay,EB01,"(17.6,23.2,0),(45.7,49.2,48.8)"
127,Crew_Quarters,CQ04,"(0,15.9,0),(29.2,27.5,26.9)"
128,Crew_Quarters,CQ02,"(10.7,28.9,0),(26.2,54.6,15.9)"
129,Medical_Bay,EA03,"(20.4,0,0),(37.4,11.2,24.2)"
130,Storage_Bay,TA03,"(27.3,14.8,0),(51.9,43.0,17.4)"
131,Engineering_Bay,EB02,"(11.2,30.7,31.8),(48.2,50.4,57.8)"
132,Storage_Bay,TA01,"(0,34.8,0),(38.2,61.0,15.5)"
133,Crew_Quarters,CQ04,"(29.2,15.9,0),(43.8,35.9,26.2)"
134,Storage_Bay,TA02,"(0,19.7,0),(33.3,32.5,17.9)"
135,Storage_Bay,TA03,"(0,17.0,0),(34.0,39.8,45.8)"
136,Medical_Bay,EA03,"(44.2,0,0),(65.1,25.1,75.5)"
137,Storage_Bay,TA02,"(33.3,19.7,0),(83.0,46.1,46.8)"
138,Medical_Bay,EA03,"(37.4,0,0),(78.3,40.7,11.4)"
139,Airlock,A01,"(15.5,0,0),(60.3,32.3,49.7)"
140,Storage_Bay,TA03,"(51.9,14.8,0),(80.5,38.4,29.1)"
141,Storage_Bay,TA01,"(38.2,34.8,0),(59.1,58.4,22.2)"
142,External_Storage,ES02,"(0,0,0),(26.6,45.4,18.7)"
143,Crew_Quarters,CQ02,"(0,34.7,0),(48.2,47.1,35.0)"
144,Life_Support,LS04,"(0,0,0),(23.8,26.9,25.3)"
145,Lab,L04,"(18.9,0,0),(48.5,36.7,23.4)"
146,Lab,L01,"(37.7,0,0),(71.0,14.4,46.5)"
147,Storage_Bay,TA01,"(59.1,34.8,0),(87.2,64.0,20.9)"
148,Sanitation_Bay,SB01,"(0,0,0),(29.9,16.2,14.7)"
149,Engineering_Bay,EB01,"(49.9,22.0,0),(66.1,60.2,26.0)"
150,Lab,L02,"(40.8,0,0),(56.4,20.5,16.6)"
151,Greenhouse,G03,"(0,0,0),(21.9,27.6,29.2)"
152,Storage_Bay,TA03,"(0,38.4,0),(12.3,65.0,28.0)"
153,Sanitation_Bay,SB02,"(0,0,0),(25.4,19.8,16.5)"
154,Lab,L01,"(35.8,0,0),(78.2,26.7,27.7)"
155,Maintenance_Bay,MB03,"(0,0,0),(19.4,41.3,34.6)"
156,External_Storage,ES03,"(0,0,0),(31.6,13.4,11.8)"
157,Storage_Bay,TA01,"(41.6,41.0,0),(60.1,85.8,25.6)"
158,Crew_Quarters,CQ03,"(67.9,0,0),(85.3,33.0,36.4)"
159,Engineering_Bay,EB02,"(0,0,47.8),(34.1,26.1,70.0)"
160,Engineering_Bay,EB02,"(0,50.4,31.8),(40.7,95.7,48.8)"
161,Airlock,A03,"(41.7,0,0),(90.2,19.9,24.5)"
162,Cockpit,C04,"(0,0,0),(14.4,11.3,10.9)"
163,Airlock,A02,"(25.2,0,0),(56.9,19.7,15.9)"
164,Lab,L04,"(60.5,0,0),(86.8,30.3,33.9)"
165,Crew_Quarters,CQ02,"(26.2,28.9,0),(44.0,58.8,70.2)"
166,Power_Bay,PB04,"(0,0,0),(45.6,31.7,31.0)"
167,Engine_Bay,NA01,"(0,0,0),(20.3,37.9,13.7)"
168,Cockpit,C05,"(0,0,0),(24.0,43.7,49.1)"
169,Lab,L02,"(56.4,0,0),(75.8,18.5,12.4)"
170,Crew_Quarters,CQ01,"(25.0,0,33.9),(52.4,29.8,50.5)"
171,Engineering_Bay,EB01,"(66.1,22.0,0),(112.6,54.9,32.0)"
172,Power_Bay,PB05,"(0,0,0),(66.3,94.3,2.4)"
173,Airlock,A03,"(25.6,0,0),(50.5,13.9,49.1)"
174,Lab,L02,"(75.8,0,0),(93.7,22.9,17.4)"
175,Command_Center,CC03,"(0,0,0),(24.8,36.0,39.5)"
176,Power_Bay,PB01,"(0,0,0),(57.4,70.5,1.3)"
177,Cockpit,C04,"(0,11.3,0),(16.6,50.8,47.1)"
178,Greenhouse,G04,"(0,0,0),(24.8,26.0,27.8)"
179,Medical_Bay,EA02,"(24.8,0,0),(43.0,24.8,17.2)"
180,Storage_Bay,TA03,"(34.0,17.0,0),(81.6,40.6,43.7)"
181,Lab,L02,"(35.8,0,0),(50.3,33.5,37.4)"
182,Lab,L02,"(0,22.9,0),(30.5,40.3,18.3)"
183,External_Storage,ES04,"(0,0,0),(30.0,15.4,47.4)"
184,External_Storage,ES03,"(31.6,0,0),(99.3,82.8,4.8)"
185,Crew_Quarters,CQ04,"(43.8,15.9,0),(93.3,50.2,26.6)"
186,Storage_Bay,TA03,"(12.3,38.4,0),(22.6,50.3,19.3)"
187,Crew_Quarters,CQ04,"(0,42.2,0),(21.5,55.7,25.7)"
188,Storage_Bay,TA03,"(22.6,38.4,0),(51.4,64.5,12.8)"
189,Storage_Bay,TA01,"(0,64.0,0),(25.8,99.8,20.6)"
190,Power_Bay,PB02,"(0,0,0),(28.0,49.3,49.8)"
191,Airlock,A02,"(56.9,0,0),(87.9,45.9,38.7)"
192,Engineering_Bay,EB01,"(45.7,23.2,0),(68.2,42.6,22.7)"
193,Medical_Bay,EA01,"(54.0,0,0),(95.7,31.9,39.4)"
194,Engineering_Bay,EB02,"(0,26.1,47.8),(20.0,53.6,74.4)"
195,Lab,L01,"(0,0,46.5),(17.2,48.7,63.8)"
196,Storage_Bay,TA02,"(0,0,28.5),(19.9,33.4,58.8)"
197,Crew_Quarters,CQ04,"(21.5,42.2,0),(43.6,83.4,41.1)"
198,Power_Bay,PB03,"(0,0,0),(49.3,33.9,48.6)"
199,Power_Bay,PB04,"(0,0,0),(10.6,46.6,17.1)"
200,Engineering_Bay,EB01,"(68.2,23.2,0),(98.7,47.6,27.4)"
201,Storage_Bay,TA03,"(51.4,38.4,0),(73.2,82.1,45.6)"
202,Cockpit,C05,"(19.7,0,0),(41.3,10.8,46.7)"
203,Lab,L04,"(48.5,0,0),(64.9,29.1,49.8)"
204,Lab,L03,"(47.9,0,0),(64.4,20.1,26.6)"
205,Medical_Bay,EA02,"(43.0,0,0),(72.7,38.6,47.1)"
206,Engineering_Bay,EB02,"(0,53.6,47.8),(17.9,94.3,95.1)"
207,Crew_Quarters,CQ01,"(0,0,50.5),(24.8,16.9,67.9)"
208,Maintenance_Bay,MB04,"(0,0,0),(23.0,35.8,14.7)"
209,Engineering_Bay,EB02,"(0,0,48.8),(40.5,23.5,64.8)"
210,Lab,L02,"(30.5,22.9,0),(40.8,44.4,14.9)"
211,Command_Center,CC02,"(46.6,0,0),(77.4,47.0,27.8)"
212,Crew_Quarters,CQ01,"(0,0,62.6),(19.3,32.6,92.4)"
213,Life_Support,LS05,"(0,0,0),(44.6,21.4,27.5)"
214,Storage_Bay,TA01,"(60.1,41.0,0),(87.7,67.0,15.1)"
215,Maintenance_Bay,MB01,"(17.8,0,0),(44.5,44.2,32.1)"
216,Storage_Bay,TA01,"(25.8,64.0,0),(62.3,106.3,47.1)"
217,Storage_Bay,TA02,"(19.9,0,28.5),(55.5,19.2,75.4)"
218,Lab,L02,"(40.8,22.9,0),(58.6,47.6,46.3)"
219,Lab,L02,"(50.3,0,0),(96.8,23.6,30.7)"
220,Storage_Bay,TA01,"(0,67.0,0),(16.3,95.1,18.3)"
221,Command_Center,CC02,"(16.8,0,0),(60.4,46.0,23.8)"
222,Medical_Bay,EA03,"(0,40.7,0),(47.9,51.8,46.8)"
223,Engineering_Bay,EB01,"(0,47.6,0),(37.8,72.7,10.3)"
224,Medical_Bay,EA02,"(60.5,0,0),(81.8,27.5,48.5)"
225,Power_Bay,PB05,"(0,0,0),(12.2,38.3,41.0)"
226,Maintenance_Bay,MB02,"(10.2,0,0),(53.2,18.4,12.0)"
227,Medical_Bay,EA01,"(51.3,0,0),(68.4,17.1,78.1)"
228,Storage_Bay,TA02,"(0,46.1,0),(33.0,62.6,32.1)"
229,Airlock,A03,"(50.5,0,0),(71.1,16.0,46.0)"
230,Storage_Bay,TA01,"(16.3,67.0,0),(62.1,96.7,15.1)"
231,Engineering_Bay,EB02,"(0,23.5,48.8),(13.5,67.8,66.0)"
232,Command_Center,CC01,"(11.5,0,0),(42.0,24.1,14.1)"
233,Airlock,A03,"(0,19.9,0),(48.3,37.2,47.2)"
234,Crew_Quarters,CQ02,"(0,47.1,0),(32.7,88.3,39.9)"
235,Engineering_Bay,EB01,"(37.8,47.6,0),(56.4,88.4,10.6)"
236,Lab,L04,"(86.8,0,0),(98.0,32.7,35.6)"
237,Engineering_Bay,EB01,"(56.4,47.6,0),(89.8,96.8,41.8)"
238,Storage_Bay,TA03,"(0,40.6,0),(21.9,81.3,31.4)"
239,Lab,L01,"(0,0,27.7),(13.4,16.9,66.0)"
240,Engineering_Bay,EB02,"(0,0,66.0),(33.8,21.0,97.6)"
241,Lab,L01,"(17.2,0,46.5),(35.2,28.9,73.2)"
242,Engineering_Bay,EB02,"(0,0,95.1),(12.9,44.7,139.5)"
243,Airlock,A02,"(32.7,0,0),(58.8,43.4,25.3)"
244,Lab,L03,"(64.4,0,0),(81.5,14.2,27.1)"
245,Lab,L03,"(81.5,0,0),(118.5,21.4,24.0)"
246,Crew_Quarters,CQ03,"(0,33.0,0),(15.1,52.4,37.4)"
247,Crew_Quarters,CQ01,"(24.8,0,50.5),(44.4,43.1,67.0)"
248,Engineering_Bay,EB02,"(0,21.0,66.0),(28.1,60.1,95.6)"
249,Life_Support,LS01,"(0,0,0),(24.6,24.2,23.6)"
250,Engineering_Bay,EB02,"(0,0,139.5),(45.6,26.3,151.8)"
251,Airlock,A03,"(71.1,0,0),(98.8,22.8,43.5)"
252,Storage_Bay,TA02,"(33.0,46.1,0),(82.7,94.9,13.4)"
253,Engineering_Bay,EB02,"(0,26.3,139.5),(18.3,73.3,150.9)"
254,Airlock,A01,"(48.1,0,0),(95.5,33.5,45.1)"
255,Engineering_Bay,EB02,"(0,0,150.9),(46.3,38.6,175.0)"
256,Lab,L01,"(13.4,0,27.7),(33.2,45.8,51.2)"
257,Crew_Quarters,CQ03,"(15.1,33.0,0),(45.4,59.5,48.9)"
258,Engineering_Bay,EB02,"(0,0,95.6),(45.3,19.1,109.5)"
259,Lab,L04,"(64.9,0,0),(87.4,29.6,26.6)"
260,Engineering_Bay,EB02,"(0,19.1,95.6),(36.9,56.0,138.3)"
261,Medical_Bay,EA03,"(65.1,0,0),(110.8,14.6,39.5)"
262,Crew_Quarters,CQ01,"(19.3,0,62.6),(56.2,37.4,98.7)"
263,Lab,L04,"(98.0,0,0),(121.1,28.4,28.8)"
264,Lab,L01,"(35.2,0,46.5),(54.1,36.6,87.9)"
265,Engineering_Bay,EB02,"(0,38.6,150.9),(28.4,60.2,190.7)"
266,Storage_Bay,TA03,"(73.2,38.4,0),(86.3,63.7,14.6)"
267,Storage_Bay,TA01,"(0,96.7,0),(22.6,113.4,11.6)"
268,Crew_Quarters,CQ02,"(0,58.8,0),(39.0,75.3,29.7)"
269,Lab,L02,"(58.6,22.9,0),(82.8,36.1,11.1)"
270,Command_Center,CC01,"(42.0,0,0),(59.4,26.1,31.5)"
271,Crew_Quarters,CQ01,"(0,0,67.0),(27.5,21.5,96.3)"
272,Storage_Bay,TA02,"(55.5,0,28.5),(81.3,20.3,54.5)"
273,Cockpit,C04,"(0,12.5,0),(42.2,49.5,23.9)"
274,Lab,L02,"(0,36.1,0),(27.7,63.4,28.5)"
275,Airlock,A03,"(48.3,19.9,0),(74.6,40.6,48.5)"
276,Command_Center,CC03,"(24.8,0,0),(38.9,36.5,49.4)"
277,Storage_Bay,TA03,"(86.3,38.4,0),(128.1,85.1,27.1)"
278,Lab,L03,"(39.2,0,0),(65.8,20.5,40.5)"
279,Crew_Quarters,CQ03,"(42.5,0,0),(69.2,16.5,43.9)"
280,Crew_Quarters,CQ04,"(0,50.2,0),(44.9,80.3,13.7)"
281,Medical_Bay,EA03,"(47.9,40.7,0),(94.6,51.6,18.1)"
282,Crew_Quarters,CQ04,"(43.6,42.2,0),(84.6,77.9,11.7)"
283,External_Storage,ES04,"(0,17.5,0),(17.7,35.7,30.6)"
284,Medical_Bay,EA03,"(0,51.6,0),(15.9,93.0,28.9)"
285,Crew_Quarters,CQ01,"(0,0,96.3),(26.9,49.2,135.7)"
286,Crew_Quarters,CQ02,"(0,75.3,0),(28.7,95.3,14.6)"
287,Storage_Bay,TA01,"(22.6,96.7,0),(42.2,112.9,28.8)"
288,Cockpit,C02,"(12.1,0,0),(52.4,24.7,32.9)"
289,Engineering_Bay,EB02,"(0,60.2,150.9),(32.9,103.4,185.8)"
290,Lab,L03,"(0,21.4,0),(28.4,43.7,25.3)"
291,Medical_Bay,EA01,"(68.4,0,0),(82.3,38.8,34.7)"
292,Engineering_Bay,EB02,"(0,0,138.3),(23.8,11.2,170.1)"
293,Lab,L04,"(87.4,0,0),(122.8,33.3,16.0)"
294,Medical_Bay,EA01,"(0,31.9,0),(19.7,57.3,26.6)"
295,Storage_Bay,TA01,"(42.2,96.7,0),(74.2,142.2,29.7)"
296,Crew_Quarters,CQ03,"(69.2,0,0),(81.1,38.3,18.0)"
297,Command_Center,CC03,"(50.0,0,0),(77.0,21.8,45.3)"
298,Crew_Quarters,CQ02,"(0,95.3,0),(45.4,107.4,31.5)"
299,Airlock,A02,"(58.8,0,0),(93.6,34.2,43.0)"
300,Medical_Bay,EA02,"(0,0,48.5),(14.4,13.8,71.9)"
301,Engineering_Bay,EB02,"(0,11.2,138.3),(37.8,46.3,186.2)"
302,Cockpit,C03,"(15.8,0,0),(47.5,43.5,16.6)"
303,Life_Support,LS02,"(0,0,0),(48.6,43.9,41.9)"
304,Lab,L01,"(33.2,0,27.7),(52.2,32.6,58.4)"
305,Storage_Bay,TA02,"(0,20.3,28.5),(28.1,48.8,48.4)"
306,Crew_Quarters,CQ04,"(0,0,11.7),(26.7,49.6,33.8)"
307,Engineering_Bay,EB02,"(0,46.3,138.3),(36.4,60.1,184.7)"
308,Storage_Bay,TA03,"(21.9,40.6,0),(54.6,59.5,30.0)"
309,Maintenance_Bay,MB04,"(23.5,0,0),(72.2,20.6,16.5)"
310,External_Storage,ES01,"(23.2,0,0),(47.1,25.6,13.6)"
311,Medical_Bay,EA02,"(14.4,0,48.5),(35.7,35.2,83.3)"
312,Maintenance_Bay,MB04,"(23.0,0,0),(50.3,16.4,25.9)"
313,Engineering_Bay,EB02,"(0,60.1,138.3),(10.6,107.3,152.7)"
314,Storage_Bay,TA02,"(0,0,13.4),(15.3,16.3,42.4)"
315,Medical_Bay,EA03,"(0,14.6,0),(44.9,56.1,20.6)"
316,Engineering_Bay,EB02,"(10.6,60.1,138.3),(41.1,105.4,151.8)"
317,Storage_Bay,TA02,"(28.1,20.3,28.5),(45.3,45.6,54.3)"
318,Storage_Bay,TA02,"(15.3,0,13.4),(32.4,22.1,43.2)"
319,External_Storage,ES04,"(0,35.7,0),(44.3,84.5,40.8)"
320,Crew_Quarters,CQ04,"(44.9,50.2,0),(60.7,73.7,48.6)"
321,Engineering_Bay,EB02,"(0,0,151.8),(22.7,32.3,179.3)"
322,Power_Bay,PB01,"(0,0,1.3),(65.1,59.1,2.6)"
323,Power_Bay,PB04,"(10.6,0,0),(53.6,43.6,31.6)"
324,Crew_Quarters,CQ03,"(45.4,33.0,0),(89.5,82.8,31.4)"
325,Crew_Quarters,CQ03,"(81.1,0,0),(94.5,36.8,33.0)"
326,Medical_Bay,EA02,"(0,0,47.1),(11.7,19.7,65.1)"
327,Lab,L04,"(121.1,0,0),(147.1,18.5,10.9)"
328,Crew_Quarters,CQ02,"(0,88.3,0),(13.8,109.4,19.0)"
329,Lab,L02,"(0,23.6,0),(18.4,63.6,42.5)"
330,Storage_Bay,TA01,"(62.3,64.0,0),(88.6,84.3,16.5)"
331,Cockpit,C01,"(16.4,0,0),(29.3,13.9,18.1)"
332,Crew_Quarters,CQ02,"(13.8,88.3,0),(36.0,113.6,12.9)"
333,Crew_Quarters,CQ02,"(0,107.4,0),(32.9,128.3,17.5)"
334,Medical_Bay,EA02,"(11.7,0,47.1),(29.7,26.9,68.3)"
335,Airlock,A03,"(0,22.8,0),(42.7,33.2,37.2)"
336,Storage_Bay,TA03,"(54.6,40.6,0),(69.2,74.4,15.4)"
337,Power_Bay,PB01,"(0,0,2.6),(16.8,48.1,41.6)"
338,Cockpit,C01,"(15.9,0,0),(43.9,17.0,38.6)"
339,Crew_Quarters,CQ02,"(0,113.6,0),(18.1,139.3,43.6)"
340,Life_Support,LS03,"(0,0,0),(21.7,17.5,47.0)"
341,Airlock,A01,"(0,32.3,0),(20.1,79.6,14.9)"
342,Storage_Bay,TA02,"(45.3,20.3,28.5),(58.3,46.3,67.6)"
343,Life_Support,LS04,"(0,0,0),(47.1,12.8,11.0)"
344,Storage_Bay,TA02,"(32.4,0,13.4),(67.4,47.1,32.4)"
345,Engineering_Bay,EB02,"(0,32.3,151.8),(23.1,77.1,190.5)"
346,Lab,L04,"(147.1,0,0),(173.8,10.3,33.3)"
347,Storage_Bay,TA03,"(69.2,40.6,0),(90.4,68.0,18.1)"
348,Crew_Quarters,CQ01,"(0,0,98.7),(34.1,23.1,134.5)"
349,Medical_Bay,EA01,"(19.7,31.9,0),(35.0,47.6,21.1)"
350,Storage_Bay,TA01,"(0,84.3,0),(19.3,98.4,14.1)"
351,Engineering_Bay,EB01,"(0,0,41.8),(12.3,37.6,82.8)"
352,Crew_Quarters,CQ03,"(0,36.8,0),(10.7,58.4,40.2)"
353,Crew_Quarters,CQ04,"(60.7,50.2,0),(76.6,76.8,29.8)"
354,Medical_Bay,EA01,"(82.3,0,0),(93.7,37.5,39.4)"
355,Storage_Bay,TA01,"(19.3,84.3,0),(65.3,129.7,29.0)"
356,Sanitation_Bay,SB03,"(0,0,0),(25.3,17.9,11.2)"
357,Storage_Bay,TA02,"(58.3,20.3,28.5),(97.5,55.0,38.8)"
358,Power_Bay,PB03,"(15.9,0,0),(36.3,48.8,21.6)"
359,Lab,L02,"(27.7,36.1,0),(52.2,66.8,36.5)"
360,Sanitation_Bay,SB04,"(0,0,0),(25.9,20.4,19.8)"
361,Power_Bay,PB05,"(66.3,0,0),(97.1,36.5,40.9)"
362,Greenhouse,G01,"(0,0,0),(13.5,16.7,23.7)"
363,Medical_Bay,EA03,"(15.9,51.6,0),(43.2,66.5,30.0)"
364,Storage_Bay,TA01,"(0,0,29.7),(32.8,43.7,42.7)"
365,Storage_Bay,TA03,"(0,0,18.1),(11.7,25.1,67.2)"
